"","pathway_ids","all_pathway_names"
"1","hsa03320","PPAR signaling pathway"
"2","hsa03460","Fanconi anemia pathway"
"3","hsa04010","MAPK signaling pathway"
"4","hsa04012","ErbB signaling pathway"
"5","hsa04014","Ras signaling pathway"
"6","hsa04015","Rap1 signaling pathway"
"7","hsa04020","Calcium signaling pathway"
"8","hsa04022","cGMP-PKG signaling pathway"
"9","hsa04024","cAMP signaling pathway"
"10","hsa04062","Chemokine signaling pathway"
"11","hsa04064","NF-kappa B signaling pathway"
"12","hsa04066","HIF-1 signaling pathway"
"13","hsa04068","FoxO signaling pathway"
"14","hsa04071","Sphingolipid signaling pathway"
"15","hsa04072","Phospholipase D signaling pathway"
"16","hsa04110","Cell cycle"
"17","hsa04114","Oocyte meiosis"
"18","hsa04115","p53 signaling pathway"
"19","hsa04150","mTOR signaling pathway"
"20","hsa04151","PI3K-Akt signaling pathway"
"21","hsa04152","AMPK signaling pathway"
"22","hsa04210","Apoptosis"
"23","hsa04211","Longevity regulating pathway"
"24","hsa04213","Longevity regulating pathway"
"25","hsa04218","Cellular senescence"
"26","hsa04261","Adrenergic signaling in cardiomyocytes"
"27","hsa04270","Vascular smooth muscle contraction"
"28","hsa04310","Wnt signaling pathway"
"29","hsa04330","Notch signaling pathway"
"30","hsa04340","Hedgehog signaling pathway"
"31","hsa04350","TGF-beta signaling pathway"
"32","hsa04360","Axon guidance"
"33","hsa04370","VEGF signaling pathway"
"34","hsa04380","Osteoclast differentiation"
"35","hsa04390","Hippo signaling pathway"
"36","hsa04510","Focal adhesion"
"37","hsa04520","Adherens junction"
"38","hsa04530","Tight junction"
"39","hsa04540","Gap junction"
"40","hsa04550","Signaling pathways regulating pluripotency of stem cells"
"41","hsa04610","Complement and coagulation cascades"
"42","hsa04611","Platelet activation"
"43","hsa04612","Antigen processing and presentation"
"44","hsa04620","Toll-like receptor signaling pathway"
"45","hsa04621","NOD-like receptor signaling pathway"
"46","hsa04622","RIG-I-like receptor signaling pathway"
"47","hsa04623","Cytosolic DNA-sensing pathway"
"48","hsa04630","JAK-STAT signaling pathway"
"49","hsa04650","Natural killer cell mediated cytotoxicity"
"50","hsa04660","T cell receptor signaling pathway"
"51","hsa04662","B cell receptor signaling pathway"
"52","hsa04664","Fc epsilon RI signaling pathway"
"53","hsa04666","Fc gamma R-mediated phagocytosis"
"54","hsa04668","TNF signaling pathway"
"55","hsa04670","Leukocyte transendothelial migration"
"56","hsa04710","Circadian rhythm"
"57","hsa04713","Circadian entrainment"
"58","hsa04720","Long-term potentiation"
"59","hsa04722","Neurotrophin signaling pathway"
"60","hsa04723","Retrograde endocannabinoid signaling"
"61","hsa04724","Glutamatergic synapse"
"62","hsa04725","Cholinergic synapse"
"63","hsa04726","Serotonergic synapse"
"64","hsa04727","GABAergic synapse"
"65","hsa04728","Dopaminergic synapse"
"66","hsa04730","Long-term depression"
"67","hsa04740","Olfactory transduction"
"68","hsa04742","Taste transduction"
"69","hsa04750","Inflammatory mediator regulation of TRP channels"
"70","hsa04810","Regulation of actin cytoskeleton"
"71","hsa04910","Insulin signaling pathway"
"72","hsa04911","Insulin secretion"
"73","hsa04912","GnRH signaling pathway"
"74","hsa04913","Ovarian steroidogenesis"
"75","hsa04914","Progesterone-mediated oocyte maturation"
"76","hsa04915","Estrogen signaling pathway"
"77","hsa04916","Melanogenesis"
"78","hsa04917","Prolactin signaling pathway"
"79","hsa04918","Thyroid hormone synthesis"
"80","hsa04919","Thyroid hormone signaling pathway"
"81","hsa04920","Adipocytokine signaling pathway"
"82","hsa04921","Oxytocin signaling pathway"
"83","hsa04922","Glucagon signaling pathway"
"84","hsa04923","Regulation of lipolysis in adipocytes"
"85","hsa04924","Renin secretion"
"86","hsa04925","Aldosterone synthesis and secretion"
"87","hsa04930","Type II diabetes mellitus"
"88","hsa04931","Insulin resistance"
"89","hsa04932","Non-alcoholic fatty liver disease"
"90","hsa04933","AGE-RAGE signaling pathway in diabetic complications"
"91","hsa04950","Maturity onset diabetes of the young"
"92","hsa04960","Aldosterone-regulated sodium reabsorption"
"93","hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"94","hsa04962","Vasopressin-regulated water reabsorption"
"95","hsa04970","Salivary secretion"
"96","hsa04971","Gastric acid secretion"
"97","hsa04972","Pancreatic secretion"
"98","hsa04973","Carbohydrate digestion and absorption"
"99","hsa04976","Bile secretion"
"100","hsa05010","Alzheimer disease"
"101","hsa05012","Parkinson disease"
"102","hsa05014","Amyotrophic lateral sclerosis"
"103","hsa05016","Huntington disease"
"104","hsa05020","Prion disease"
"105","hsa05030","Cocaine addiction"
"106","hsa05031","Amphetamine addiction"
"107","hsa05032","Morphine addiction"
"108","hsa05034","Alcoholism"
"109","hsa05100","Bacterial invasion of epithelial cells"
"110","hsa05110","Vibrio cholerae infection"
"111","hsa05120","Epithelial cell signaling in Helicobacter pylori infection"
"112","hsa05130","Pathogenic Escherichia coli infection"
"113","hsa05131","Shigellosis"
"114","hsa05132","Salmonella infection"
"115","hsa05133","Pertussis"
"116","hsa05134","Legionellosis"
"117","hsa05140","Leishmaniasis"
"118","hsa05142","Chagas disease"
"119","hsa05145","Toxoplasmosis"
"120","hsa05150","Staphylococcus aureus infection"
"121","hsa05152","Tuberculosis"
"122","hsa05160","Hepatitis C"
"123","hsa05161","Hepatitis B"
"124","hsa05162","Measles"
"125","hsa05164","Influenza A"
"126","hsa05166","Human T-cell leukemia virus 1 infection"
"127","hsa05168","Herpes simplex virus 1 infection"
"128","hsa05169","Epstein-Barr virus infection"
"129","hsa05200","Pathways in cancer"
"130","hsa05205","Proteoglycans in cancer"
"131","hsa05210","Colorectal cancer"
"132","hsa05211","Renal cell carcinoma"
"133","hsa05212","Pancreatic cancer"
"134","hsa05213","Endometrial cancer"
"135","hsa05214","Glioma"
"136","hsa05215","Prostate cancer"
"137","hsa05216","Thyroid cancer"
"138","hsa05217","Basal cell carcinoma"
"139","hsa05218","Melanoma"
"140","hsa05219","Bladder cancer"
"141","hsa05220","Chronic myeloid leukemia"
"142","hsa05221","Acute myeloid leukemia"
"143","hsa05222","Small cell lung cancer"
"144","hsa05223","Non-small cell lung cancer"
"145","hsa05231","Choline metabolism in cancer"
"146","hsa05321","Inflammatory bowel disease"
